,name,state,linkedin_industry,website_url,check_robots
0,itravel,Nordrhein-Westfalen,Tourism,https://www.itravel.de/,True
1,ZOONO GERMANY,Nordrhein-Westfalen,Life Science & Healthcare,https://www.zoonodeutschland.com/,False
2,kunveno,,IT and Communications,https://kunveno.de,True
3,t2k: Text to Knowledge,Sachsen,IT and Communications,https://text2knowledge.de,True
4,Scopas,Berlin,IT and Communications,https://www.scopas.io/,True
5,studymaniac,Nordrhein-Westfalen,Education,https://studymaniac.de,True
6,Yaak Technologies,Berlin,Education,http://yaak.ai/,False
7,Entyre,Hamburg,Life Science & Healthcare,https://www.entyre.de/,False
8,NUMAFERM,Nordrhein-Westfalen,Chemicals/Pharmaceuticals,http://numaferm.com/,True
9,Aicone,Hamburg,Energy & Electricity,http://www.ai-c.one,True
10,Givetastic.org,Niedersachsen,Other,http://www.givetastic.org,True
11,MagnoTherm,Hessen,Industrial & Basic Materials,http://magnotherm-solutions.com/,True
12,BOSETEIN,Baden-Württemberg,Life Science & Healthcare,http://www.bosetein.com,True
13,Steeped App,Baden-Württemberg,Nutrition & Consumables,https://steeped.app/,False
14,Statista,Hamburg,Consulting,https://de.statista.com/,True
15,Knuper,Berlin,IT and Communications,https://www.knuper.com/,False
16,Meisterwerk App,Berlin,IT and Communications,http://meisterwerk.app/,False
17,2hearts Community,Berlin,IT and Communications,http://2heartscommunity.com/,False
18,DEMECAN,Berlin,Chemicals/Pharmaceuticals,https://www.demecan.de/en/startseite-english/,True
19,TeraSpinTec,Berlin,Other,https://teraspintec.com/,True
20,kuendigung.org,Baden-Württemberg,Consulting,http://kuendigung.org/,True
21,Smartivate,Baden-Württemberg,Consulting,https://smartivate.de/,False
22,Cloud Ready Software,Hamburg,IT and Communications,https://cloud-ready-software.com/,True
23,META Games,Berlin,Sports & Amusement/Gaming incl. Online,http://www.metagames.gg,False
24,EOS Germany,Nordrhein-Westfalen,,https://eosgermany.one/,False
25,HQS Quantum Simulations,Baden-Württemberg,IT and Communications,https://quantumsimulations.de/,True
26,VSM BW,Baden-Württemberg,,https://www.verstaumich.de/,True
27,SciFlow,Berlin,Education,https://www.sciflow.net,False
28,JoS QUANTUM,Hessen,IT and Communications,http://jos-quantum.de/,True
29,EngageLabs,Berlin,"Automotive, Logistics & Mobility",http://getcrove.com,False
30,CUREosity,Nordrhein-Westfalen,Life Science & Healthcare,http://www.cureosity.de,True
