name,state,linkedin_industry,website_url
Eberspächer digital solutions,Baden-Württemberg,,https://www.eberspaecher.com
Kubermatic,Hamburg,IT and Communications,https://www.kubermatic.com/
Fastdocs,Nordrhein-Westfalen,IT and Communications,https://fastdocs.de/
Microganic,Niedersachsen,Agriculture & Forestry,http://www.microganic.de/
PLATONIC,Berlin,"Media, Arts & Entertainment",https://platonictech.com/
Babumio,Bayern,Textiles,https://www.babumio.de/
Krafttec,Bayern,Industrial & Basic Materials,http://www.krafttec-uvc.com
Operations1,Bayern,IT and Communications,http://www.operations1.com
Beenario,Baden-Württemberg,IT and Communications,http://bugfender.com/
myenso,Bremen,Nutrition & Consumables,https://www.myenso.de/
InSCREENeX,Niedersachsen,Chemicals/Pharmaceuticals,https://www.inscreenex.de/
Honetic,Schleswig-Holstein,Nutrition & Consumables,http://into-you.de/
plentyLeads,Nordrhein-Westfalen,IT and Communications,https://plentyleads.de/
Clue,Berlin,Life Science & Healthcare,https://helloclue.com/
Föll Technology&Innovation ReProWa,Baden-Württemberg,Agriculture & Forestry,http://www.reprowa-gmbh.de
InstaLOD,Baden-Württemberg,IT and Communications,https://instalod.com/
"TTI GmbH, TGU EMECTRIC",Baden-Württemberg,Energy & Electricity,https://emectric.com/massgeschneiderte-batteriesysteme/
GreenBill,Baden-Württemberg,Finance & Insurance,https://www.greenbill.de/
Holocene,Berlin,,https://www.holocene.eu
VAT4U,Nordrhein-Westfalen,Finance & Insurance,http://www.vat4u.com/en
Myflats,Schleswig-Holstein,Tourism,http://www.myflats.de
MoovyMed,Sachsen,Life Science & Healthcare,https://moovymed.de/
Field 33,Baden-Württemberg,IT and Communications,http://field33.com/
omio,Berlin,"Automotive, Logistics & Mobility",https://www.omio.com/
HotelFriend Service,Berlin,Tourism,http://hotelfriend.com/
chatShopper,Berlin,IT and Communications,http://www.chatshopper.com
RealRate,Berlin,Finance & Insurance,http://www.realrate.de
Mintablo,Nordrhein-Westfalen,,https://www.mintablo.de
ZKONG Deutschland,Nordrhein-Westfalen,,https://en.zkong.com/solution.html
Fairnatural,Baden-Württemberg,Nutrition & Consumables,http://www.Fairnatural.de
Deposit Solutions,Hamburg,Finance & Insurance,http://www.deposit-solutions.com
Webinaris,Bayern,IT and Communications,https://www.webinaris.com/
F10 FemaleOneZero,Bayern,"Media, Arts & Entertainment",https://femaleonezero.com/
Chargery,Berlin,"Automotive, Logistics & Mobility",http://www.chargery.de
momentum,Niedersachsen,Finance & Insurance,https://www.momentum.investments/
Getsafe,Baden-Württemberg,Finance & Insurance,https://www.hellogetsafe.com
sento.io,Bayern,IT and Communications,http://sento.io/
PACE Telematics,Baden-Württemberg,"Automotive, Logistics & Mobility",https://www.pace.car
Unfallpaten,Hamburg,"Automotive, Logistics & Mobility",https://unfallpaten.de/
e.pilot,Nordrhein-Westfalen,Energy & Electricity,https://epilot.cloud/
OfficeBots,Bayern,IT and Communications,https://OfficeBots.io
circuly,Nordrhein-Westfalen,IT and Communications,https://www.circuly.io/
Notprofi,Bremen,IT and Communications,https://notprofi.de/
Purconsult,Berlin,Nutrition & Consumables,https://www.berlincoldpress.de/
noah,Sachsen,IT and Communications,http://www.noah.tech
DOOZER Real Estate Systems,Berlin,IT and Communications,https://www.doozer.de/
comcrypto,Sachsen,IT and Communications,http://www.comcrypto.de
MyHammer,Berlin,Construction/Real Estate,https://www.my-hammer.de/
xmera Solutions,Nordrhein-Westfalen,IT and Communications,https://xmera.de/
Information Builders (Deutschland),Bayern,,https://www.informationbuilders.de
BUDDY Activities,Nordrhein-Westfalen,Sports & Amusement/Gaming incl. Online,https://www.buddy-app.de/
Broken Games,Berlin,Sports & Amusement/Gaming incl. Online,http://www.brokengames.de/
CoachNow,Bayern,Consulting,http://www.coach-now.de
re2you,Berlin,IT and Communications,https://www.re2you.com
Taxfix,Berlin,Finance & Insurance,https://taxfix.de
Crowdfox,Nordrhein-Westfalen,Other,https://www.crowdfox.biz/
Articly,Bayern,"Media, Arts & Entertainment",http://articly.de/
TalentsConnect,Nordrhein-Westfalen,IT and Communications,http://www.talentsconnect.com
clesgo,Baden-Württemberg,IT and Communications,http://www.clesgo.com/
MR. CARDBOARD,Niedersachsen,"Media, Arts & Entertainment",https://mrcardboard.eu/
Spherity,Nordrhein-Westfalen,IT and Communications,https://spherity.com/
innoVitro,Nordrhein-Westfalen,Life Science & Healthcare,http://innovitro.de/
finne brauerei,Nordrhein-Westfalen,Nutrition & Consumables,http://www.finne-brauerei.de
Midaia,Baden-Württemberg,Life Science & Healthcare,https://midaia.com/
up.lftd,Berlin,Human Resources,http://uplftd.com/
Slidemaker AI,,Consulting,https://slidemaker.ai/
Optiwiser A.I. Solutions,Bayern,Other,https://optiwiser.de/
Hamwa,Niedersachsen,Nutrition & Consumables,https://business.hamwa.app/
Pluswine,Bayern,,https://www.pluswine.de
Avelios Medical,Bayern,,https://avelios.com?lang=de
mymoria,Berlin,Other,https://www.mymoria.de/de
Job-um-die-Ecke,Nordrhein-Westfalen,,https://www.job-um-die-ecke.de
Mosquilla,Baden-Württemberg,Other,https://www.mosquilla.de/
AtoBCarry,Hamburg,"Automotive, Logistics & Mobility",http://www.atobcarry.de
Omni IT,Bayern,IT and Communications,https://www.omniit.de
Foodly,Berlin,Nutrition & Consumables,http://www.getfoodly.com
RISE OF AI,Berlin,IT and Communications,https://riseof.ai/
travel babbel,Berlin,Education,https://travel.babbel.com
Qlex,Niedersachsen,"Automotive, Logistics & Mobility",http://qlex.one/en/
BOOK A TIGER,Berlin,IT and Communications,https://www.bookatiger.com
LS-S Leadership Support,Rheinland-Pfalz,Human Resources,http://www.ls-s.com
Aplano,Hamburg,IT and Communications,https://www.aplano.de
trassi,Berlin,Finance & Insurance,https://www.trassi.io/
IMPARGO,Brandenburg,"Automotive, Logistics & Mobility",https://impargo.de/
HeyJobs,Berlin,Human Resources,https://hire.heyjobs.co/en-us/
Meet5,Hessen,"Media, Arts & Entertainment",http://www.meet5.de
Earnest,Bayern,IT and Communications,http://meetearnest.de/
WEROCK,Baden-Württemberg,IT and Communications,https://www.werocktools.com/
Alcandia Travel,Baden-Württemberg,Tourism,http://www.alcandia.de
German Orbital Systems,Berlin,IT and Communications,http://www.orbitalsystems.de/
mechatronaix,Nordrhein-Westfalen,,https://www.mechatronaix.de
Wine in Black,Rheinland-Pfalz,Nutrition & Consumables,https://www.wine-in-black.de/
Clypp,Bayern,IT and Communications,https://getclypp.com
RFmondial,Niedersachsen,"Media, Arts & Entertainment",http://rfmondial.com/
BigRep,Berlin,Industrial & Basic Materials,https://bigrep.com/
Zentrum Dry Needling,Nordrhein-Westfalen,,https://www.zentrum-fuer-dry-needling.de
Cortea,Hessen,Sports & Amusement/Gaming incl. Online,http://cortea.de/
Campai,Berlin,IT and Communications,https://campai.com/
WeProfit,Hessen,IT and Communications,http://weprofit.global/
Home HT,Berlin,Construction/Real Estate,https://www.home.ht
velabs,Saarland,,http://www.velabs-therapeutics.com
Lillydoo,Hessen,Nutrition & Consumables,https://www.lillydoo.com/de/
HumHub,Bayern,IT and Communications,https://www.humhub.org/
retone industries,Bayern,Construction/Real Estate,http://retone.de/
eatstar,Berlin,Nutrition & Consumables,https://www.eat-star.de/
loopline systems,Berlin,Human Resources,http://www.loopline-systems.com/
Homento Technologies,Berlin,Security,https://homento.com/
Pionierkraft,Bayern,Energy & Electricity,http://pionierkraft.de/
JRNY,Berlin,Life Science & Healthcare,http://jrny.coach/
maiot,Bayern,IT and Communications,https://maiot.io/
Gamma Minus,Nordrhein-Westfalen,"Media, Arts & Entertainment",http://www.gammaminus.com
LOYAL App,Bayern,Nutrition & Consumables,https://loyalapp.de/
nüchtern.berlin,Berlin,Nutrition & Consumables,https://nuechtern.berlin/pages/
Switchboard,Baden-Württemberg,Energy & Electricity,https://www.switchboard-api.de/
Peregrine Technologies,Berlin,"Automotive, Logistics & Mobility",http://www.peregrine.ai
BikeTree,Baden-Württemberg,"Automotive, Logistics & Mobility",https://www.biketree.de/
Convercus,Bayern,Human Resources,http://convercus.com/
Preventio,Hessen,IT and Communications,http://www.preventio.de
PippaJean,Hessen,Nutrition & Consumables,http://www.pippajean.com
Raus,Berlin,Tourism,http://raus.life/
Clinomic,Nordrhein-Westfalen,Life Science & Healthcare,https://www.clinomic.ai/
Gemedico,Hessen,IT and Communications,https://gemedico.com/
Traisor,Berlin,IT and Communications,http://www.traisor.com/
RetroBrain R&D,Hamburg,Life Science & Healthcare,https://www.retrobrain.de
Ninetailed,Berlin,IT and Communications,http://ninetailed.io/
Dein Reisebüro,Berlin,Tourism,https://www.dein-reisebuero.com/
WaschMal,Nordrhein-Westfalen,IT and Communications,https://waschmal.de/
Akhetonics,Berlin,IT and Communications,https://www.akhetonics.com/
Mediteo,Baden-Württemberg,Life Science & Healthcare,https://www.mediteo.com/
Roq.ad,Berlin,IT and Communications,http://www.roq.ad
Cypro Medical,Berlin,Life Science & Healthcare,http://www.cypro.de/
BeOlea,Bayern,Nutrition & Consumables,https://beolea.com/
Contiamo,Berlin,IT and Communications,http://www.contiamo.com
Dendropharm,Berlin,Chemicals/Pharmaceuticals,http://www.dendropharm.de
melon,Bayern,Nutrition & Consumables,http://meloncommunity.com/
envoria,Bayern,IT and Communications,https://envoria.com
21SportsGroup,Baden-Württemberg,,http://www.21sportsgroup.com
Atlatec,Baden-Württemberg,"Automotive, Logistics & Mobility",http://www.atlatec.de/
carwow,Bayern,"Automotive, Logistics & Mobility",http://www.carwow.de
StreamParty,Nordrhein-Westfalen,"Media, Arts & Entertainment",https://streamparty.tv/
Text Cortex AI,Berlin,IT and Communications,https://textcortex.com/
&Charge,Hessen,"Automotive, Logistics & Mobility",https://and-charge.com/#/
sayang,Bayern,IT and Communications,https://sayang.gmbh/
JPK-Trading,Nordrhein-Westfalen,IT and Communications,https://jpk-trading.de/
Motivaktiv,Nordrhein-Westfalen,Life Science & Healthcare,https://www.motivaktiv.de/
myStandards,Schleswig-Holstein,Chemicals/Pharmaceuticals,http://my-standards.com/
Delicious Data,Bayern,Nutrition & Consumables,https://en.delicious-data.com/
Agrivero,Berlin,IT and Communications,https://agrivero.ai/
